"spelling.errors","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"agney","Cagney","magnet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yelders","elders","welders","y elders","solders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"youngers","younger","loungers","younger s","youngsters","youngster","scroungers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"openion","opinion","open ion","open-ion","pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"girlfriendboyfriend","girlfriend boyfriend","girlfriend-boyfriend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reaher","hearer","rehear","realer","reader","reamer","reaper","heather",NA,NA,NA,NA,NA,NA,NA,NA
"geuine","genuine","guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"africanamerican","alphanumerical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"secondlargest","second largest","second-largest","secondarily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rainforests","rain forests","rain-forests","restraints","afforests","restraint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nile","line","Nile","bile","mile","nil","nine","rile","tile","nice","pile","file","vile","wile","nil e",NA
"toto","toot","Toto","tot","too","tote","tots","Soto","to to","to-to","tot o","to",NA,NA,NA,NA
"giraffs","giraffes","giraffe","gaffs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eveywhere","everywhere","wherever","wheresoever","whenever",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"underpriviledged","underprivileged","underappreciated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"colour","color","co lour","co-lour","col our","col-our","lour",NA,NA,NA,NA,NA,NA,NA,NA,NA
"banu","bani","ban","bane","bans","band","bang","bank","ban u",NA,NA,NA,NA,NA,NA,NA
"irfan","airfare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zimbawe","imbalance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"condinent","condiment","continent","conditioned","continence","confinement","contingent",NA,NA,NA,NA,NA,NA,NA,NA,NA
"consiquence","consequence","consistence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reiteratively","alliteratively","alternatively","interactively","imperatively",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"repetedly","repeatedly","reputedly","reportedly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oncemore","once more","once-more","ceremony",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"conotation","connotation","co notation","co-notation","annotation","confutation","notation","connotative",NA,NA,NA,NA,NA,NA,NA,NA
"rebuttle","rebuttal","butler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"demonstraters","demonstrates","demonstrators","demonstrate rs","demonstrate-rs","demonstrate","demonstrator","demonstration","demonstratives",NA,NA,NA,NA,NA,NA,NA
"abbrasion","abrasion","nonabrasive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emeny","enemy","emery","emend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"approal","approval","approach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oposing","posing","opposing","o posing","positing","posting","popping",NA,NA,NA,NA,NA,NA,NA,NA,NA
"doest","dust","does","dost","dotes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somethingsomeone","something someone","something-someone","somersetting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stting","string","sting","setting","sitting","stating","siting","sating","st ting","st-ting","stetting","strutting","spitting","slitting",NA,NA
"catagories","categories","categorizes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"middleaged","middle aged","middle-aged","middleman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soemthing","something","soothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anicent","ancient","antigenic","entice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dinosaours","dinosaurs","dinosaur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hasis","oasis","hasps","basis","ha sis","ha-sis","has is","has-is","hashish","chassis",NA,NA,NA,NA,NA,NA
"determins","determines","determine","determinism","determinate","determinants","determinant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"negativly","negatively","negativity","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meaurement","measurement","allurement","ensnarement","retirement","agreement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ammount","amount","am mount","am-mount","mount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aquired","squired","acquired","required","inquired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neve","nee","eve","never","nerve","even","nevi","nave","n eve",NA,NA,NA,NA,NA,NA,NA
"vived","viced","vied","vised","vivid","rived","lived","dived","hived","wived","revived","divided",NA,NA,NA,NA
"unhuman","inhuman","nonhuman","human","manhunt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unweathered","weathered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doesn","does","does n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"continuingly","continuously","contingently","continually","continuity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neverending","never ending","never-ending","reverencing","overextending","rendering","reverend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"kate","take","Kate","late","ate","skate","sate","kite","rate","kale","date","gate","mate","pate","hate","bate"
"gosselin","gosling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iternal","internal","eternal","external","alternate","literal","terminal",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bowflex","bow flex","bow-flex","flexible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"selfinterests","self interests","self-interests","interrelates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"affiche","fiche",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"axe","ace","ax","axes","axle","axed","are","ate","ale","age","ape","aye","ave","awe","ax e",NA
"todo","too","dodo","to do","to-do","toddy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"si","chi","sigh","see","is","Si","so","s","i","sis","sin","sir","sit","sic","sci","sim"
"neogiation","negotiation","negation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"argumentdispute","argument dispute","argument-dispute","argumentativeness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otheres","others","other's","other es","other-es","other","thresher",NA,NA,NA,NA,NA,NA,NA,NA,NA
"convenant","covenant","convenient","convention","convent","conversant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subjectverb","subject verb","subject-verb","subjective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"comprimise","compromise","comprise","imprecise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compromies","compromise","compromises","comprises","compresses","compressor","compress",NA,NA,NA,NA,NA,NA,NA,NA,NA
"copramise","compromise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plantscience","plant science","plant-science","antiscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sailers","sailors","mailers","wailers","retailers","versatile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"getter","fetter","setter","netter","letter","gutter","better","wetter","begetter","geometer",NA,NA,NA,NA,NA,NA
"priates","pirates","prates","primates","privates","appropriates","repatriates","priestess",NA,NA,NA,NA,NA,NA,NA,NA
"bonjour","bourbon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cookiess","cookies","cookie's","cookies s","cookie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spongebob","sponge bob","sponge-bob","sponger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"matie","mate","matte","Katie","ma tie","ma-tie","matinee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"reticule","reticulated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oxgyen","oxygen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atmosohere","atmosphere","thermostat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atmoshere","atmosphere","thermostat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonscented","non scented","non-scented","scented","contented",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"andis","antis","an dis","an-dis","and is","and-is","island",NA,NA,NA,NA,NA,NA,NA,NA,NA
"nessicary","necessary","carsickness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oddor","odor","odder","odd or","odd-or","door",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coldhot","cold hot","cold-hot","childhood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"invaluavble","invaluable","invaluably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blaloons","balloons","saloons","blazons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amoung","among","amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"manmade","man made","man-made","handmade","madden","madman","demand",NA,NA,NA,NA,NA,NA,NA,NA,NA
"tranportation","transportation","transplantation","transpiration","teleportation","importation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bagage","baggage","bag age","bag-age","garbage","bagged","bagel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"flys","fly","flays","fly's","fays","fly s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"attentdent","attendant","attentive","attention","attended",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"turblance","turbulence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"firey","fiery","fire","fires","firer","fired","fire y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ariplane","airplane","warplane","biplane","planer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abiliy","ability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seatbelts","seat belts","seat-belts","heartbeats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neccessety","necessity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"attendent","attendant","attended","attendee","attendance","attend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"funs","duns","guns","fins","fums","fund","fun","fauns","funds","funks","fun's","fens","fuss","suns","fans","nuns"
"forn","form","for","fore","fern","fora","fort","torn","lorn","corn","ford","furn","morn","porn","horn","born"
"transportaion","transportation","transposition","transplantation","transpiration","transporter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ventalation","ventilation","lamentation","conventional","tantalization","veneration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airmarshall","marshal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clostrephobic","claustrophobic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airconditioner","air conditioner","air-conditioner","conditioner","conditioned","contraindication","containerization",NA,NA,NA,NA,NA,NA,NA,NA,NA
"venalation","ventilation","venation","veneration","alienation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aircrafts","aircraft","aircraft's","air crafts","air-crafts","aircraft s","crafts",NA,NA,NA,NA,NA,NA,NA,NA,NA
"wakeup","makeup","wake up","wake-up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"picturesphotos","pictures photos","pictures-photos","picturesqueness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wiskey","whiskey","whiskery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tastey","taste","tasty","tastes","taster","tasted","taste y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"opperating","operating","operation","penetrating","inoperative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twentyone","twenty one","twenty-one","twenty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brandings","branding","bran dings","bran-dings","branding s","bindings","braiding",NA,NA,NA,NA,NA,NA,NA,NA,NA
"somtimes","sometimes","sometime","tiresome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mixies","mixes","pixies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"liguor","liquor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"impaires","impaired","impairs","impair es","impair-es","impair","impasses","impresses","impress",NA,NA,NA,NA,NA,NA,NA
"inebriant","inebriate","inebriation","brilliantine","brigantine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alcoholan","alcohol an","alcohol-an","alcohol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hydroxy","hydro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isopropyl","prophylaxis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"disenfectant","disinfectant","disinfection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"colourless","colorless","collarless",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fuelit","fuel it","fuel-it","fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"offence","offense","of fence","of-fence","fence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bloodthe","blood the","blood-the","bloodshed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aliquor","liquor","a liquor","liquidator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chemichal","chemical","alchemist","chalice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drunkyards","drunkards","drunk yards","drunk-yards","junkyards","drunkard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alcohl","alcohol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acess","aces","access","ace's","aces s","abscess",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hydroxyl","hydroxide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"commoncold","common cold","common-cold","uncommon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nosie","noise","nose","nosier","Rosie","nosiness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"warnging","warning","warring","wagging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somethign","something","sometime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"concious","conscious","concision","concussion","conclusion","concuss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"peopl","people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"peticular","particular","articular","particulate","testicular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abserving","observing","ab serving","ab-serving","servings","servicing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gaurd","guard","gourd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noice","nice","notice","novice","noise","nonce","voice","no ice","no-ice",NA,NA,NA,NA,NA,NA,NA
"dulse","duels","pulse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cyanobacteria","antibacterial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"biofuel","bio fuel","bio-fuel","bilious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"singlecelled","single celled","single-celled","singleness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camelian","camellia","carnelian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sprit","strip","spit","sprite","esprit","spirit","sprint","spritz","sprat","split","sprig",NA,NA,NA,NA,NA
"nuetralizing","neutralizing","centralizing","naturalizing","generalizing","internalizing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chempistry","chemistry","empiricist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"idk","id","kid","ids","ink","irk","ilk","id k",NA,NA,NA,NA,NA,NA,NA,NA
"teel","til","reel","tee","tel","eel","steel","tees","teal","teen","tell","teed","teem","peel","heel","feel"
"chemistty","chemistry","chemist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omni","omnibus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diehard","die hard","die-hard","hardily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fixedness","fineness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"allergia","allergic","allergist","galleria","allergy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agression","aggression","regression","digression","progression","retrogression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"crocadile","crocodile","peccadillo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butlooks","outlooks","but looks","but-looks","outlook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scaley","scale","scaly","scales","scaled","scale y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"greenbrown","green brown","green-brown","greengrocer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acsess","assess","access","accuses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ephemeris","hemispheric","hemispheres","hemisphere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"timerelated","time related","time-related","timer elated","timer-elated","interrelated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deseperate","desperate","desecrate","deserter","separate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abcs","abs","cabs","arcs","ab cs","ab-cs","ABCs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"syllabary","syllabify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"incorreclty","incorrectly","incorrect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tto","tot","to","Otto","too","tho","two","Ito","t to",NA,NA,NA,NA,NA,NA,NA
"middleground","middle ground","middle-ground","battleground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soso","solo","so so","so-so","SOS","so",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"everyhting","everything","everlasting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"answerreply","answer reply","answer-reply","answerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"okie","nookie","bookie","rookie","cookie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dokie","dogie","cookie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tablelike","table like","table-like","likable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"womens","women","omens","women's","w omens","women s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lowpitched","low pitched","low-pitched","splotched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tenornot","tenor not","tenor-not","tenor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"silverwhite","silver white","silver-white","silversmith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"silverywhite","silvery white","silvery-white","silversmiths",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aluminium","aluminum","alumina","alumni","albumin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"silverygrey","silvery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gutbucket","gut bucket","gut-bucket","bucket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"silvercoloured","silverware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cannikin","canning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mallaeable","malleable","callable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occurence","occurrence","nonoccurence","concurrence","recurrence","renounce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"everytime","every time","every-time","timeserver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descripes","descries","describes","descriptive","descriptors","descriptor","description",NA,NA,NA,NA,NA,NA,NA,NA,NA
"moring","miring","morning","mooring","mooing","coring","goring","moping","poring","boring","moving","mowing","mo ring","mo-ring","morphing","mongering"
"proclomation","proclamation","prolongation","promulgation","promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dr","rd","Dr","fr","d","r","dry","er","tr","do","or","dc","dd","gr","pr","hr"
"suess","sues","suss","guess","sues s","sue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"medafor","reformed","formed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abreviation","abbreviation","abbreviate","reverberation","deviation","inebriation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noob","nub","boon","boob","noon","nob","nook",NA,NA,NA,NA,NA,NA,NA,NA,NA
"newb","nob","nub","new","news","newt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stunsurprise","stun surprise","stun-surprise","surprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"multitalented","multi talented","multi-talented","multifaceted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mulitasking","multitasking","multitask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"boysgirls","boys girls","boys-girls","busgirls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pre","per","ore","pee","pr","re","pres","pare","pore","pure","prep","prey","pyre","pref","rep","ere"
"eeerrrr","eerier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dnt","dent","dint","int","ant","dot","dpt","Ont",NA,NA,NA,NA,NA,NA,NA,NA
"indo","undo","info","ind","into","in do","in-do","ind o",NA,NA,NA,NA,NA,NA,NA,NA
"placename","place name","place-name","placement","complacence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"continentthe","continent the","continent-the","continent","continence","contingent","contention",NA,NA,NA,NA,NA,NA,NA,NA,NA
"continets","continents","continent","contingents","continence","continues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mr","rm","Mr","me","mt","m","r","mar","mgr","mfr","er","ms","mi","ma","tr","mo"
"cheesburger","cheeseburger","beefburger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somone","someone","lonesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"statesusually","states usually","states-usually","statistically",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hotdogs","hot dogs","hot-dogs","hotshots",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blie","bile","blue","lie","belie","brie","blip","b lie",NA,NA,NA,NA,NA,NA,NA,NA
"mcdonalds","McDonald","MacDonald",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"whtie","white","withe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ethnicities","ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"desciption","description","deception","nondescript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wiegh","weigh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mathmatics","mathematics","asthmatics","asthmatic","schismatics","schematics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quanity","quantity","quality","equanimity","antiquity","iniquity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"desriptive","descriptive","prescriptive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exisits","exists","exits","exist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"monye","money",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quantitiy","quantity","quantitation","quantify","antiquity","antiquary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"visable","viable","visible","disable","vi sable","vi-sable","advisable","sable",NA,NA,NA,NA,NA,NA,NA,NA
"moeny","money",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stressfull","stressful","stress full","stress-full","stressful l","restfullest","restfuller","restfulness","trustfulness",NA,NA,NA,NA,NA,NA,NA
"amphitheatre","amphitheater","amphetamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"smerk","smirk","smelter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ejoying","joying","enjoying","e joying","enjoining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"onesself","oneself","ones self","ones-self","selflessness","selfless",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"likeable","likable","like able","like-able","liable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"facinated","fascinated","vaccinated","facilitated","fascinate","caffeinated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"appitizers","appetizers","appetizer","baptizers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oocupied","occupied","occupier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"youtube","you tube","you-tube","YouTube",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suprised","surprised","supervised","surprise","upraised","suppressed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reviewtest","review test","review-test","revivalist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forbearer","for bearer","for-bearer","forbear er","forbear-er","forbear","forebear","forbore",NA,NA,NA,NA,NA,NA,NA,NA
"rome","more","Rome","tome","rime","roe","romeo","rose","some","rote","role","come","rode","dome","roue","romp"
"archeology","archaeology","archaeological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ontop","onto","on top","on-top","onto p",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"assocaited","associated","associate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bueatiful","beautiful","bountiful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heavengod","heaven god","heaven-god","heavenward",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hallo","hall","halo","halloo","hallow","hello","halls","Gallo","hall o","aloha",NA,NA,NA,NA,NA,NA
"lifes","files","life","lies","lifers","life's","flies","lines","lifer","lifts","limes","fifes","lives","likes","life s",NA
